WAFER ID,LOT ID,Cassette,SLOT,STATUS,DATA TYPE,RECIPE,RCP CNT,MEAS SET,MATERIAL,SITE,Site #,Value,Value, X , Y 
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,24,25,999.4631,0.991,37.5026,90.5404
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,25,26,987.7937,0.9907,-0.0006,147
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,26,27,999.2395,0.9908,-38.047,141.991
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,27,28,997.6677,0.9909,-73.5004,127.3055
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,28,29,986.9882,0.9907,-103.945,103.9443
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,29,30,995.6969,0.9909,-127.306,73.4996
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,30,31,998.3358,0.9909,-141.9913,38.0458
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,31,32,985.8476,0.9906,-147,-0.0006
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,32,33,984.1329,0.9906,-141.991,-38.047
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,33,34,1003.9156,0.991,-127.3054,-73.5004
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,34,35,1012.3578,0.991,-103.9443,-103.9452
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,35,36,1014.1939,0.991,-73.4994,-127.306
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,36,37,1015.3375,0.991,-38.0458,-141.9913
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,37,38,1018.1587,0.9912,0.0006,-147
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,38,39,1016.2391,0.9911,38.047,-141.991
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,39,40,1018.9431,0.9911,73.5006,-127.3054
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,40,41,1017.1466,0.9911,103.9452,-103.9443
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,41,42,1006.3615,0.9909,127.3061,-73.4994
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,42,43,989.4456,0.9907,141.9913,-38.0458
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,43,44,991.3315,0.9907,147,0.0006
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,44,45,1004.5461,0.991,141.991,38.047
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,45,46,997.191,0.9909,127.3054,73.5006
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,46,47,990.3624,0.9906,103.9443,103.9452
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,47,48,1001.6568,0.9909,73.4994,127.3061
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,48,49,998.9425,0.9909,38.0458,141.9913
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,1,1,1030.0203,0.9914,0,0
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,2,2,1019.9587,0.9912,-0.0001,49
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,3,3,1019.6565,0.9912,-34.6483,34.648
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,4,4,1024.4039,0.9913,-49,-0.0001
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,5,5,1033.5051,0.9914,-34.648,-34.6483
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,6,6,1040.1205,0.9914,0.0001,-49
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,7,7,1038.2108,0.9914,34.6483,-34.648
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,8,8,1030.5897,0.9913,49,0.0001
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,9,9,1024.1654,0.9913,34.648,34.6483
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,10,10,1011.0873,0.9912,-0.0003,98
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,11,11,1011.0554,0.9912,-37.5034,90.5401
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,12,12,1011.2412,0.9913,-69.2967,69.2962
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,13,13,1012.4732,0.9912,-90.5404,37.5026
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,14,14,1014.136,0.9912,-98,-0.0004
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,15,15,1021.7611,0.9913,-90.5401,-37.5034
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,16,16,1032.7217,0.9913,-69.2962,-69.2967
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,17,17,1041.1252,0.9912,-37.5026,-90.5404
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,18,18,1046.1274,0.9914,0.0004,-98
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,19,19,1046.6912,0.9913,37.5034,-90.5401
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,20,20,1041.3726,0.9913,69.2968,-69.2962
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,21,21,1030.3347,0.9912,90.5404,-37.5026
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,22,22,1023.2845,0.9911,98,0.0004
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,23,23,1021.0848,0.9912,90.5401,37.5034
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,24,24,1017.7297,0.9913,69.2961,69.2968
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,25,25,1014.8938,0.9911,37.5026,90.5404
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,26,26,986.8425,0.9908,-0.0006,147
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,27,27,1005.117,0.9909,-38.047,141.991
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,28,28,1005.6951,0.991,-73.5004,127.3055
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,29,29,997.7393,0.9909,-103.945,103.9443
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,30,30,1003.4839,0.991,-127.306,73.4996
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,31,31,1005.9498,0.9909,-141.9913,38.0458
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,32,32,988.3106,0.9908,-147,-0.0006
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,33,33,986.8989,0.9907,-141.991,-38.047
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,34,34,1013.4764,0.991,-127.3054,-73.5004
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,35,35,1024.566,0.991,-103.9443,-103.9452
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,36,36,1029.45,0.9911,-73.4994,-127.306
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,37,37,1033.7174,0.9911,-38.0458,-141.9913
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,38,38,1037.8716,0.9912,0.0006,-147
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,39,39,1038.4017,0.9911,38.047,-141.991
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,40,40,1040.2131,0.9912,73.5006,-127.3054
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,41,41,1036.8153,0.9911,103.9452,-103.9443
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,42,42,1021.3085,0.9909,127.3061,-73.4994
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,43,43,991.5898,0.9908,141.9913,-38.0458
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,44,44,995.4509,0.9908,147,0.0006
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,45,45,1015.8922,0.9909,141.991,38.047
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,46,46,1006.6567,0.9909,127.3054,73.5006
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,47,47,998.9064,0.9907,103.9443,103.9452
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,48,48,1011.1783,0.991,73.4994,127.3061
7/12/2018 10:40,EAP00016_OXP,Port 1,3,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,49,49,1006.5342,0.9909,38.0458,141.9913
